word,polar
able,2.639373993
abrasive,1.675191287
absent,0.485064882
absolute,0.473787953
abstract,2.006855726
absurd,-3.77787441
abundant,1.152269159
abusive,-1.230497098
academic,6.000101486
acceptable,1.931534858
accessible,5.072871883
accidental,-1.230631733
accurate,3.373191652
acidic,0.694563782
acoustic,2.503752735
acrostic,-1.170897982
action,1.564783441
active,3.591802465
actual,1.32182676
adaptable,4.408283437
addictive,0.200934163
additional,4.64695464
addressable,2.317510014
adequate,0.596756763
adjacent,3.907778931
adjustable,4.341169598
admirable,0.57753244
adoptive,2.643858059
adorable,-1.213662813
adventurous,1.680850378
adverse,-1.864060087
aerobic,1.143567918
aerodynamic,3.647336411
affluent,-0.722805669
affordable,5.859416785
aflame,-2.336272361
afraid,-1.391042499
aggressive,0.489775397
agile,1.647310995
agonizing,-2.746842521
agressive,1.231004263
airy,2.902686289
alcoholic,1.173319508
alien,-2.121659084
alive,-0.097109843
allowable,2.886048635
alternate,1.360247507
altruistic,-1.105170321
amateurish,-1.757376364
amazing,0.975175757
amber,-0.649442994
ambivalent,-5.206251
ample,1.88727691
amusing,-1.529374471
anal,-1.452385314
analytical,4.68893665
ancient,0.894252214
anemic,-1.40769679
angelic,-3.501715125
angry,-2.972706695
angular,2.643582642
annoying,-0.885804465
annual,5.355092679
anticlimatic,-1.180909688
antique,2.002433189
anxious,-1.50062089
apocalyptic,-4.297912521
apologetic,-1.96922867
app,2.841547331
appalling,-1.971284001
apparent,0.338426895
appealing,0.776939277
applicable,4.901666534
appreciative,1.340008548
apprehensive,-2.095121032
appropriate,3.776202465
apt,0.144615608
archetypal,-0.69974777
architectural,6.398602368
arrogant,-1.953633311
artical,-0.269036992
artificial,0.979451216
artistic,1.394934826
artsy,-0.29087389
ashamed,-3.520641872
asian,0.353001054
aspiring,1.421259543
assertive,-0.658492922
assorted,1.980178504
assy,3.298865436
asthmatic,-1.345603992
astonishing,0.377763246
astute,-0.968522294
atrocious,-3.190665307
attentive,1.896822285
attractive,2.344704385
audio,4.099033997
august,2.574491312
authentic,1.720908494
autobiographical,-1.208613482
automanual,5.701596318
automatic,2.843466391
automotive,6.062679974
auxiliary,6.927708287
available,4.906123866
availble,3.405651552
avaliable,3.673124682
average,2.330040011
avid,4.580027912
awake,-1.980600163
aware,2.313516579
awesome,2.051292124
awful,0.197040978
awkward,-0.567076667
awry,-3.401119101
backstory,-1.68145803
bad,-1.636519784
bake,3.005455999
balanced,1.634883018
balky,-1.207255596
bare,-0.644499538
barmaid,-1.698112268
basic,3.767157804
beachy,1.209824049
bearable,-0.493185922
bearded,-2.66439206
beaty,1.22677635
beautiful,2.491162321
becareful,-0.668148114
beefy,1.131058317
beige,3.255456075
beleive,-1.945294499
believable,-0.822119216
believeable,-1.34268077
beloved,-1.137282192
benevolent,0.044193468
best,4.950096235
bestselling,2.350308578
bible,-0.264136515
biblical,-0.160530275
big,1.65611562
biological,2.319304712
bittersweet,-0.743899269
bizarre,-1.830967529
black,1.015797295
blameless,-0.947224429
bland,1.673817326
blank,1.698440311
blatant,-1.090873028
blind,0.495857288
blinding,-2.343513348
bloated,-1.525194682
blonde,-1.235605995
bloody,-2.202766602
blue,2.255277834
blunt,-1.18554174
bodily,-1.021071728
bold,0.805804916
booted,0.094478076
borderless,3.258588386
borderline,-0.173868654
bored,-1.046081644
boring,-0.362669961
bothersome,0.385681486
bottled,3.020854797
bouffant,-0.114508777
bouncy,-1.218138912
boxy,2.405577242
braided,3.576375872
brainless,-2.93096335
brash,-1.010044563
brassy,-0.9909529
brave,-1.544895747
brazen,-3.360678723
breathless,-3.47485313
breathtaking,3.659791729
brief,3.040378595
bright,2.041361898
brilliant,0.621693403
brittle,-0.73952092
broad,3.981951568
bronze,1.975978167
brown,1.879163559
brutal,-3.426862594
bubbly,2.177897496
buff,0.47355259
bulky,4.022646429
bumpy,0.545967834
burble,-1.628484438
businesslike,0.009659808
busted,-2.154146089
busy,1.920674844
calm,-0.08384723
canary,1.386070893
canned,1.502412442
capable,2.760433733
capacious,-0.238370359
capitalist,-1.330932276
captivating,2.146791855
careful,0.975218922
carpal,0.456976736
casual,-0.346629082
catastrophic,-0.338705702
catchy,0.179229052
caustic,-0.617307582
cautious,-1.638926197
cavernous,-1.134107731
cellular,2.526183083
center,4.92096298
central,2.424243606
centrifugal,2.935701616
ceramic,3.726979066
ceremonial,-0.690366313
challenging,2.902923711
chaotic,-0.520470507
characteristic,0.884066554
characterless,-1.830339969
charismatic,-0.462932889
charming,-0.265056115
cheap,0.355310301
cheeky,-2.354393096
cherry,0.416253942
cherubic,-1.924048929
chewy,2.101119859
chic,1.060550792
chief,1.996043942
childish,-0.85243182
childlike,-1.408093429
chilly,-0.698637052
choppy,1.072168187
chronic,-0.749448885
chubby,-5.655366213
chunky,-0.179878702
cinematic,-0.826478434
circular,0.54099978
civil,0.496106363
civilized,-1.359978986
classic,1.315958752
classical,3.367367479
classy,0.095563457
clean,1.896803361
clear,1.28976022
clever,-0.012303259
climatic,2.508957584
clinical,3.451071703
cloudless,-1.503097838
cloudy,2.039351831
clumsy,-0.138199615
clunky,0.007826801
coarse,1.464802765
cocky,-2.364382874
cofortable,-3.493277201
cogent,-1.102861116
cognizant,2.804886619
coherent,1.16822577
cold,0.137093615
collectible,2.919273682
collective,0.974367227
colored,0.658254887
colorful,3.560352068
coloured,0.121324821
comedic,-2.141171574
comfortable,2.903027657
comic,-1.726059723
comical,-1.242843938
commecial,0.477334008
commendable,-0.070238087
commensurate,2.173502918
commercial,4.026602402
common,1.706896149
commonplace,0.46896423
comp,0.952867046
compact,4.395955828
comparable,2.668811716
compatible,2.589585769
compelling,1.403988353
competent,1.306191535
competitive,3.715945643
complementary,3.801385691
complete,3.529490139
complex,2.984602053
complimentary,4.640431538
comprehensible,2.570388521
comprehensive,5.267164961
compulsive,-1.652009432
conceptual,2.098616204
concise,4.777432988
concrete,0.085154577
condensed,3.458762657
conducive,1.826807421
conductive,4.943090012
confident,1.592556783
configurable,3.601261948
conformist,-2.155957293
confusing,-1.020363719
congested,0.069732606
conscious,-0.665972402
conservative,-0.65275165
considerable,0.999281007
considerate,-0.663962499
consistent,2.825049422
constant,1.582619347
consummate,-0.199639753
contageous,-1.227638395
contemporary,2.983702407
continental,3.661494897
continual,2.013732054
continuous,3.916969799
contractual,3.018555091
controllable,2.573872395
controversial,-1.272667166
convenient,2.391441103
conventional,1.472067993
convincing,-1.270688529
convoluted,-1.808728631
cool,1.446339993
cooped,-2.427352625
cordial,-0.176523133
cordless,5.548937711
corked,-2.047740615
corny,-2.085061538
coronal,2.520315692
corporate,5.241407157
correct,3.279190298
corrupt,-3.360099142
costly,1.49269953
countless,0.146352805
couple,0.731996189
courageous,0.518777986
courteous,1.863589704
cozy,3.043818812
cranial,0.184751212
cranky,-2.302359973
crass,-4.070304895
crazed,-3.905405787
crazy,-0.233586718
creaky,-1.570707601
creative,4.002616838
credible,-0.98966735
creepy,-1.742865714
criminal,0.360672646
crisp,3.754002935
critical,3.118314373
crooked,-1.064801555
crucial,1.511609251
crud,0.286693942
cruel,-3.077491436
crumbling,-2.046816107
crummy,-2.045676024
cryptic,0.38775768
cryptographic,2.612806628
cubic,1.647544249
culinary,4.488339766
cultural,3.054293331
cumbersome,2.784369466
cupid,-1.555334055
curious,-0.025027194
curly,-1.714514409
current,3.612190621
cursory,-1.276286229
curved,1.265667101
cushiony,0.546193699
customary,1.077640118
cute,-0.865473676
cynical,-2.462238862
daily,1.801796511
dainty,-0.307132615
damaging,-1.658660948
damn,-1.590839112
danceable,1.096630423
dandy,-1.063561273
dangerous,-1.027891514
dark,-0.300173986
darn,0.427396295
dazzling,2.324882718
dead,-1.192153631
deadly,-2.222553782
dear,0.940172092
debatable,-3.386369687
debilitating,-2.372645965
decadent,-1.566311683
deceased,0.97451926
decent,-0.370769317
decisive,0.657489515
decorative,6.065353211
defective,0.861715247
defensive,-0.237847299
defiant,-2.179207749
deficient,1.036604711
delicate,0.569597464
delicious,2.137670939
delightful,3.375819629
deluded,-4.159967518
delusional,-2.839505379
deluxe,4.342768144
demographic,1.60231369
dense,2.46361004
deodorant,2.429122381
dependable,4.635474596
dependent,2.236369301
deplorable,-2.566885648
depressed,-2.968807723
derogatory,-3.826725977
descriptive,2.950112832
deserving,1.588436486
desirable,3.083686195
desolate,-2.496502039
desperate,-1.830249526
desultory,-2.331073813
detailed,5.176688649
detestable,-2.669284777
dexterous,-0.349353793
diabolical,-2.966974403
different,3.09049104
difficult,2.142538933
digital,6.300270427
dilapidated,-0.225717425
diligent,1.444884708
dim,0.027917252
dimensional,4.034486814
diminutive,0.743360473
dingy,-0.416697181
dionysian,-1.974828554
dire,2.416247377
direct,3.943115183
directional,4.201120244
directorial,-0.143575849
dirty,-0.910582213
disabled,2.538875249
disappointing,0.288128817
disasterous,-2.033749709
discernable,0.528597135
disconcerting,-0.756978413
discouraging,-0.778067661
discriminating,-1.656172418
diseased,-1.855762715
disgusting,-3.927575554
disheveled,-1.582761166
disimilar,0.371661906
dismal,0.073737687
disobedient,-1.559059875
disorderly,0.02871013
disorganized,0.188395547
dissatisfied,-0.436839662
distant,0.282249585
distinct,1.932139084
distinctive,3.057655324
disturbing,-1.304640071
divine,-2.117787683
documentary,-0.193561809
dogged,-1.336889545
domed,2.999614863
domestic,2.014556163
double,2.443194074
drab,0.05608469
dramatic,1.622432334
dreadful,-2.038602655
dreamlike,-0.589841193
dreamy,-0.612296632
dreary,-3.00655619
dribble,-0.203470233
drivable,1.445750405
drunk,-2.374356031
drunken,-1.999174109
dry,2.248265327
dual,3.078895893
dubious,-0.688336096
due,1.723196788
dull,-2.420277057
dumb,-2.326461535
dummy,-0.453036668
duplex,3.167844791
duplicate,3.30142495
durable,6.061230271
dysfunctional,-1.290845925
eager,0.029877268
early,2.155660218
earnest,-0.893408689
earthly,0.062114517
earthy,1.245488769
east,2.251000805
easy,2.774043862
eccentric,-0.171779468
eclectic,3.258119166
economic,1.779238113
economical,3.361744964
ecstatic,-1.858236923
edgy,-1.948969742
educational,5.729895357
eerie,-1.701975495
effective,3.557775496
efficient,3.807624723
effortless,3.04957165
egregious,-2.745386808
elaborate,-1.565760971
elder,2.306683781
elderly,-1.648477577
electric,1.719397725
electrical,3.7317581
electronic,5.164350517
elegant,2.196925983
elementary,3.090937571
elfin,-0.417089111
emotional,-0.031854825
empirical,-0.406584476
empty,-0.689144438
endearing,-0.695554041
endless,-0.366342482
energetic,2.846180553
engaging,1.088093906
engrossing,-0.127602171
enjoyable,2.655141483
enlightened,-1.159858522
enthralling,1.835582748
enthusiastic,2.227226733
entire,1.996897107
enviable,2.830553028
envious,-3.74805455
environmental,3.949038615
episodic,-0.067818572
equal,1.370922852
equitable,1.950169534
ergonomic,9.172324937
erotic,-1.383605965
esoteric,0.29273435
essential,2.947961539
eternal,-2.113655403
ethereal,-0.092591742
euphonious,-2.801927781
european,1.94873321
evasive,-4.627710468
eventful,0.447046214
eventual,-1.666496108
everyday,1.49073775
evident,-0.544290256
evil,-2.756400098
evocative,1.767292218
exact,1.538348102
excellent,5.430402216
exceptional,4.17550122
excessive,-2.515844262
exciting,4.48167495
exclusive,1.548417163
exempt,2.248472163
exotic,0.867197019
expandable,5.49798348
expansive,3.292611936
expensive,1.865086562
experimental,2.736296318
explanatory,1.545124281
explicit,-0.766963049
exploratory,1.496058805
exquisite,2.923397732
extendable,4.782821356
extensive,3.714293689
exterior,3.417471997
external,3.810882563
extra,1.856902433
extraordinary,0.853245069
extraterrestrial,0.20945561
exuberant,-0.332303293
fabolous,-5.840894968
fabulous,-1.268499998
facial,-1.90013392
factual,-0.0110771
faint,-1.870622884
fair,0.763854519
faithful,-1.783044508
fake,-2.84976493
false,-0.693398385
familiar,1.38345844
famous,0.980265961
fanastic,0.042535513
fanciful,-0.297218567
fantastic,2.293063312
fantastical,-2.516954179
fascinating,0.43316146
fat,0.15527228
fatal,-1.972000155
faulty,1.126297017
favorable,0.956368192
favorite,3.303685767
fearless,-0.687070609
fearsome,-0.653094984
feathered,-0.318658298
featureless,0.344953353
federal,4.227685079
feminist,-0.62490736
fenced,2.684943451
festive,2.104070153
fictional,-0.366926743
fictitious,-0.017902883
fierce,-3.066583867
fiery,1.295231395
fifth,1.997174483
filmy,-2.416365322
filthy,-4.21369181
final,2.750743415
financial,5.607782904
fine,2.785556912
finnish,2.66866872
firm,3.574393767
first,3.789555764
fit,1.749260346
fitting,0.73854518
flaky,0.015272831
flashy,1.97783091
flat,2.838416836
flavored,2.776479388
flawless,2.028234645
flexible,5.863560782
flimsy,-1.459880745
flipping,0.887826578
flirtatious,-0.875069504
floppy,1.925451951
fluffy,-0.270224181
flush,0.99368796
focal,3.528670213
folding,3.958714757
fond,0.560821308
foolish,-2.105583029
foolproof,0.82476309
forceful,-0.989557088
foreign,2.333434921
foremost,0.63703845
forgettable,-0.372164497
forgivable,-1.578497454
forked,0.373928878
formal,2.514335844
formative,1.004132296
former,2.087893376
formidable,1.55786554
formulaic,0.433484563
fortunate,5.265891809
foul,-3.098829367
fourth,3.124636534
fragile,0.39625166
frameless,3.61116631
fraudulent,2.630043694
frayed,0.466178702
freaky,-4.101946589
free,3.870279347
frequent,1.418092988
fresh,1.729035749
friendly,4.175993335
frigid,-0.130646454
frilly,-0.872062489
frontal,-2.322832573
fruitful,2.698990713
frustrated,-3.945972643
frustrating,0.383367332
fugitive,-2.480217897
full,1.897378883
functional,2.946261428
funky,0.626854214
funny,-3.278999397
furthermost,-2.361601177
fussy,-2.04857128
futile,-1.301689719
futurisitic,0.149490305
fuzzy,-0.481210732
gala,4.094085297
game,0.118575797
gaudy,-2.214377823
gay,-2.328115682
geeky,-2.713888652
general,1.694551547
generic,-0.641415388
generous,-0.387632291
genetic,-0.021432318
genious,-0.90205712
gentle,-2.041236367
genuine,-1.340310886
ghastly,-6.8406648
giant,-1.332860417
giddy,-3.812330747
gifted,2.222515635
gigantic,-1.448271174
gimmicky,-0.201672575
glad,-1.328145042
global,2.318599891
gloomy,-1.070899538
glorious,-2.982088831
glossy,2.27914912
golden,-0.147257787
good,1.872093066
gorgeous,-0.762818381
gothic,-1.359644895
graceful,2.323095916
gradual,0.722203089
grand,1.685850753
grandiose,-2.041933307
graphic,2.997276769
grateful,-1.643372676
gratuitous,-4.414892129
grave,-2.560656736
gray,-0.155585938
greasy,-2.787016979
great,1.554025746
greatest,1.001279535
greedy,-3.49104561
green,0.706893392
greenish,-0.587504641
grey,-1.16216027
grid,3.991013511
grilled,0.800085837
grim,-3.672079987
grimy,-3.586300956
grisly,-4.035710444
gritty,-1.786573713
gross,-0.923561115
grotesque,-3.193929824
gruff,-2.129954873
guilty,-2.819015388
gutless,-3.583301804
hackneyed,-1.186503236
hairy,-1.083803756
handicapped,4.098568449
handsome,-2.273353366
handy,0.482398351
haphazard,-2.77042966
happy,0.172701222
hard,0.427162343
harddrive,0.339835528
hardy,0.113001161
harsh,-3.058291175
hateful,-1.078022128
haunting,-2.40682063
healthy,0.767805105
heartfelt,0.742463442
hearty,1.101077305
heavenly,-0.866135762
heavyish,0.468096215
hectic,2.214486407
heedless,-2.55719445
hefty,-1.582812612
helpful,3.225888645
heroic,1.017527731
hesitant,-0.383972462
hideous,-2.660433529
higher,2.334121018
hilarious,-3.326690553
historical,1.576509335
ho,-1.32026823
holy,-1.613546778
homeless,-1.442187746
honest,-1.437485258
honorable,-0.706023841
hooked,-1.207352676
hopeful,-1.361976867
hopeless,-2.354326055
horizontal,4.65697617
horny,-1.989592949
horrendous,-3.524525352
horrible,-4.111615433
horrid,-1.308297211
horrific,-0.660792431
horrifying,-2.99686013
horror,-2.339507444
hospitable,0.598307971
hostile,-3.979880793
hot,0.467301413
hourly,3.319453658
hubristic,-3.464395752
humanistic,-0.38000471
humble,-2.978771542
humid,1.757722533
humongous,-1.95909323
humorous,-1.680708659
hungry,-1.839411089
hushed,-3.043750975
hydrated,3.065280776
hydraulic,3.777729354
hyperactive,-1.093799116
hypersexual,-4.30317863
hypnotic,-5.571075775
hypocritical,-0.575014783
hysterical,-0.675078863
ical,1.902094557
icy,1.645462959
id,3.520571185
ideal,2.567927248
idealistic,-2.095244256
identical,-0.027062599
idiotic,-3.844860234
idle,-2.850575822
idyllic,2.336522216
ignorant,-4.528385843
ill,-1.597837776
illegal,-1.874674873
illegitimate,-2.594600919
illogical,-2.698025721
imaginable,0.658637231
imaginative,2.128852634
imagineable,-1.729048878
imaginitive,-1.508101694
immaculate,1.693721076
immature,3.106705918
immediate,2.111730498
imminent,-1.303905909
impatient,-0.704342008
impeccable,3.10440987
impenetrable,-2.508552505
imperfect,-0.584089152
implausible,-2.484886691
important,2.619825512
impossible,-0.104575973
impotent,-2.431213669
imprecise,-0.068779892
impressive,1.602444955
impulsive,-2.196758739
inaccurate,0.398428654
inadequate,-0.061399041
inane,-3.114149326
inappropriate,-0.814206375
inattentive,-2.810418756
inaudible,0.149871646
incapable,-1.965241112
incendiary,-1.169588211
incoming,3.509922261
incommunicative,-2.434485307
incompatible,-0.698384877
incompetent,-0.534018984
incomplete,0.860139739
inconvenient,-0.154892016
incorrect,-0.618108394
incredible,0.388129597
independent,2.782973633
indifferent,-1.7497515
indigenous,1.179831285
indirect,1.017800761
indistinct,-1.209411726
individual,3.153109021
indomitable,0.190488043
indoor,4.07784543
indulgent,-2.462171436
industrial,3.191154249
inefficient,0.545898399
inept,-4.043547648
inescapable,-2.403393747
inevitable,-1.398901886
inexcusable,-2.597099283
inexhaustible,-1.0241959
inexpensive,3.115550967
inexperienced,-0.093375159
inexplicable,-3.565410872
inexpressible,-1.219613551
infamous,-2.787791258
infectious,1.588616601
infinite,0.591055865
inflexible,-1.035425746
influential,0.727355387
informal,2.957485664
informative,3.97916418
infrared,4.727623421
ingenious,1.607074661
ingenuous,-0.980967499
inherent,0.763630022
initial,3.15120971
innate,-0.340051227
inner,1.128995491
innocent,-2.286047113
innocuous,-3.119725892
innovative,6.279829715
innumerable,-0.674536765
inoffensive,-2.033562726
inoperable,0.42169975
inoperative,-0.241071776
inopportune,-1.779844423
inquiring,-1.075069816
inquisitive,-0.967680298
insane,-3.204608736
insecure,-1.507822806
insightful,1.914859739
insignificant,-1.257427496
instinctive,-2.218378405
instructional,7.997923822
instrumental,2.448980106
insufficient,-0.265525035
insulting,-2.02087178
intact,-0.486952297
intangible,1.802985441
intellectual,2.530660547
intelligent,1.920301177
intense,0.551080085
intensive,2.356374283
intentional,-0.130403094
interesting,1.409389096
intergalactic,-0.592138489
intergenerational,1.225853241
interior,2.925787861
interminable,-1.118311896
intermittent,0.641053039
internal,2.605257045
international,4.210521403
interstate,2.108514965
intimate,-0.572082147
intoxicated,-2.859934197
intoxicating,-1.167907958
intricate,0.100222059
intriguing,1.681352232
intrinsic,2.784959145
introductory,3.891762388
introspective,-0.329614185
intrusive,0.040151589
intuitive,3.615736895
invective,-3.115680397
inventive,1.204754832
inverted,0.943679069
investigative,1.635109965
invincible,-3.165232284
invisible,-0.621209753
inviting,2.224891272
ironic,-2.417205763
irregular,0.00733104
irrelevant,-1.592155691
irreverent,-1.120806986
irritating,-0.193563806
isolating,0.132236198
italic,0.357405909
ive,-1.826975197
jaded,-3.090790619
jazzy,0.087664082
jealous,-2.894962863
jittery,-1.562307327
joint,3.549309998
jolly,2.398963663
joyous,1.147400174
jubilant,-1.200230788
jumperless,0.879410731
junior,2.646766074
juvenile,0.99464435
karmic,-0.498348309
keen,-0.65869991
kentucky,2.544573024
keyless,6.887583571
kicky,-1.888935322
kindly,-0.393564975
kitty,-2.172762592
knowledgeable,4.250431294
laborious,-0.401250728
lackadaisical,-2.09792953
laden,-2.892923983
ladylike,-2.217960647
lame,-2.922464606
languishing,-1.688915319
large,2.447400409
last,2.297600069
late,0.886058887
latent,0.536975684
lateral,0.236967134
laughable,-2.318505637
lavish,-1.897691633
lax,2.088626327
lazy,-1.192009581
leaden,-2.501748105
lean,-2.052080738
legal,1.696737131
legendary,0.04429369
legged,-1.231808729
legible,2.049372892
legitimate,-1.466473266
leisurely,0.90367787
lengthy,-0.650367462
lethal,-2.477236513
liberal,-0.665866685
lifeless,-4.752370321
lifelike,1.78338726
lighted,2.144194637
lighthearted,0.590548756
likeable,-2.192617399
likely,-0.180258092
lilliputian,-1.646921796
linear,2.668747137
listenable,-0.873949956
literal,-1.442149618
literary,0.016950869
literate,0.524488386
liveable,0.342691734
lively,1.618907918
liveried,-2.181699487
living,0.463926832
loathsome,-3.105505295
local,2.242578526
locking,0.230409524
lofty,-0.212532971
logical,0.160132558
lone,-2.428984837
lonely,-1.931483622
long,1.08357769
longish,-1.87935913
loony,-2.946464146
loopy,-2.726762269
loose,-1.304876359
lopsided,-1.680528263
loud,-1.445525523
lousy,-1.112860421
lovable,-1.819790909
loveable,1.966032334
lovely,0.808351298
loving,-0.769245152
low,1.764297668
lowly,-3.682615331
loyal,-0.845416673
luaus,2.467554875
lucid,0.385201026
lucious,-2.045013064
lucky,-0.093678829
ludicrous,-0.583025718
lumbar,2.332474007
lunar,1.383674957
luscious,-0.335896403
lush,1.686096883
luxurious,3.315020963
lyric,-1.189104334
lyrical,-1.162687889
mad,-2.957220114
maddening,-1.806893042
magical,-1.69936152
magnetic,1.302607381
magnificent,-1.178799004
main,0.912843614
major,1.336178491
maladjusted,-2.677351744
male,-1.921449456
malicious,-0.446957806
man,0.235998011
manageable,2.137755071
manifest,-1.651684362
manly,-0.243592469
manned,-1.241530177
manual,3.942840354
marginal,-2.78742717
maroon,-0.719426522
marvellous,-0.496703556
marvelous,0.868533519
